lakad	lumalakad	IND;AGFOC;IPFV
kain	magkakain	Intensive;AGFOC;NFIN
laba	malabhan	ABLTV;PFOC;NFIN
lagay	papaglagayin	CAUS;A2F;NFIN
harap	haharap	IND;AGFOC;PROSP
pakiusap	kakikiusap	IND;AGFOC;RECPFV
patuloy	magpatuloy	IND;AGFOC;NFIN
balita'	kababalita'	IND;AGFOC;RECPFV
tago'	itago'	IND;PFOC;NFIN
talon	tumalon	IND;AGFOC;PFV
lipad	makapagpalipad	ABLTV;CAUS;AGFOC;NFIN
sulat	isinusulat	IND;PFOC;IPFV
hawak	magpahawak	CAUS;A1F;NFIN
halo'	haluin	IND;DIR;NFIN
kain	kakanin	IND;PFOC;PROSP
damdam	mararamdaman	IND;PFOC;PROSP
ligpit	ligpitin	IND;PFOC;NFIN
tawid	tumawid	IND;PFOC;NFIN
asa	paasahin	CAUS;A2F;NFIN
palit	pinalitan	IND;PFOC;PFV
tulong	makatulong	ABLTV;AGFOC;NFIN
ligpit	magliligpit	IND;AGFOC;PROSP
inom	magpainom	CAUS;A1F;NFIN
uwi'	umuwi'	IND;AGFOC;PFV
trabaho	nagtratrabaho	IND;AGFOC;IPFV
hinto'	ipahinto'	CAUS;PFOC;NFIN
sama'	makasama'	ABLTV;RFOC;NFIN
takbo	tumakbo	IND;AGFOC;PFV
pasok	nagpasok	IND;AGFOC;PFV
umpisa	maumpisahan	ABLTV;PFOC;NFIN
hagis	kahahagis	IND;AGFOC;RECPFV
alis	nagalis	IND;AGFOC;PFV
sakay	nagsasakay	IND;AGFOC;IPFV
trabaho	magtrabaho	IND;AGFOC;NFIN
kopya	ipakopya	CAUS;PFOC;NFIN
sukat	susukat	IND;AGFOC;PROSP
habol	habulin	IND;PFOC;NFIN
huli	huhulihin	IND;PFOC;PROSP
aksaya	magaaksaya	IND;AGFOC;PROSP
hiram	mahiram	ABLTV;PFOC;NFIN
bukas	ibukas	IND;PFOC;NFIN
liko'	ililiko'	IND;PFOC;PROSP
sara	sumara	IND;PFOC;PFV
hingi'	magpahingi'	CAUS;A1F;NFIN
kain	kainin	IND;PFOC;NFIN
luto'	linuluto'	IND;PFOC;IPFV
dilig	papagdiligin	CAUS;A2F;NFIN
ipon	maipon	ABLTV;PFOC;NFIN
tuloy	maituloy	ABLTV;PFOC;NFIN
bili	pabilhin	CAUS;A2F;NFIN
ibig	maibigan	ABLTV;DIR;NFIN
maneho	minamaneho	IND;PFOC;IPFV
patingin	papatignan	IND;PFOC;PROSP
tanggap	ipatanggap	CAUS;PFOC;NFIN
sugal	isugal	IND;IFOC;NFIN
maging	nagiging	IND;AGFOC;IPFV
alaga'	nagaalaga'	IND;AGFOC;IPFV
sauli'	magpasauli'	CAUS;A1F;NFIN
talon	patalunin	CAUS;A2F;NFIN
pagod	napapagod	IND;AGFOC;IPFV
sayaw	sinayaw	IND;PFOC;PFV
puno'	pinuno'	IND;PFOC;PFV
bati'	ipabati'	CAUS;DIR;NFIN
ligpit	pagligpitin	CAUS;A2F;NFIN
gupit	gumupit	IND;AGFOC;PFV
baba'	mababaan	ABLTV;DIR;NFIN
iwan	magiiwan	IND;AGFOC;PROSP
bilang	ipabilang	CAUS;PFOC;NFIN
aksaya	magaksaya	IND;AGFOC;NFIN
tago'	maitago'	ABLTV;PFOC;NFIN
bati'	bumati'	IND;AGFOC;NFIN
tigil	itinigil	IND;PFOC;PFV
patay	makapatay	ABLTV;A1F;NFIN
sauli'	kasasauli'	IND;AGFOC;RECPFV
laro	mapaglaruan	ABLTV;PFOC;NFIN
sulat	pasulatin	CAUS;A2F;NFIN
saya	magsaya	IND;AGFOC;NFIN
pinta	magpipinta	IND;AGFOC;PROSP
putol	pumutol	IND;AGFOC;PFV
bilang	pabilangan	CAUS;DIR;NFIN
laba	lalabahan	IND;PFOC;PROSP
hawak	makahawak	ABLTV;AGFOC;NFIN
buhat	bumubuhat	IND;AGFOC;IPFV
salubong	pasalubungin	CAUS;A2F;NFIN
gamot	ginagamot	IND;PFOC;IPFV
hatid	ihinatid	IND;PFOC;PFV
hinto'	huminto'	IND;AGFOC;NFIN
bili	bibilhin	IND;PFOC;PROSP
tugtog	katutugtog	IND;PFOC;RECPFV
tanim	itinanim	IND;PFOC;PFV
suot	nagsusuot	IND;AGFOC;IPFV
huli	mahuli	ABLTV;PFOC;NFIN
tawa	tumawa	IND;AGFOC;NFIN
tahi'	ipagpatahi'	CAUS;BFOC;NFIN
biro'	mabiro'	ABLTV;PFOC;NFIN
bigo'	mabigb'	IND;AGFOC;NFIN
tago'	magtatago'	IND;AGFOC;PROSP
galing	gumagaling	IND;AGFOC;IPFV
umpisa	naguumpisa	IND;AGFOC;IPFV
takbo	matakbuhan	ABLTV;DIR;NFIN
buhat	bubuhatin	IND;PFOC;PROSP
ibig	umibig	IND;AGFOC;PFV
pagbili	ipagbili	IND;PFOC;NFIN
nakaw	kananakaw	IND;AGFOC;RECPFV
handa'	paghandaan	IND;BFOC;NFIN
gulat	pagulatin	CAUS;A2F;NFIN
gasta	gumagasta	IND;AGFOC;IPFV
gising	gisingin	IND;PFOC;NFIN
